,commune,n_edges,n_vertices,is_commune_littorale,n_g1,n_g2,n_g3,n_g4,n_g5,n_g6,n_g7,n_g8,n_g9,n_g10,n_g11,n_g12,n_g13,n_g14,n_g15,n_g16,n_g17,n_g18,n_g19,n_g20,n_g21,n_g22,n_g23,n_g24,n_g25,n_g26,n_g27,n_g28,n_g29
28,Chartres,1662,1239,0,0.21866932852863055,-0.3186367209212328,0.38800473914622463,0.2962225693757035,-0.25091314352292965,-0.1882983597849409,0.023977752247185773,-0.1428481556197366,-0.4227117712950339,0.11125511824336413,-0.06359064668924161,0.9257645248682452,-0.14471403548588932,-0.45266444102883385,-0.23087400517180393,0.18069157001273486,-0.16600123170673875,-0.05350282542281862,-0.13253772688144266,-0.2548319639711195,-0.2213882656779185,-0.11413951279927302,0.0,0.5892757203333244,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
29,Quimper,6734,5336,1,1.8082193050975197,2.1479956751761518,-0.13141821033077203,1.1380129542928985,2.0371076526293987,-0.7985079781941058,2.4119983018171887,-0.1428481556197366,-1.0290994516317087,-1.6283243860079755,-2.9168768349397536,0.3497232939838741,1.662348767974474,1.8846815202508256,-0.9374693247607051,-2.3165822271940004,1.9342342803994117,1.8624471581764324,-0.07436277362460858,-0.2548319639711195,1.5572011310386555,-0.11413951279927302,0.0,0.6754079189841506,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
30,Nîmes,6932,5205,1,-0.43104882484984747,-1.1147203411828082,1.422295356558269,-0.49500099107950746,-1.2127621213713515,0.5001483817708984,-0.4794872171281957,-0.1428481556197366,1.0498715644996233,1.133393663481026,0.40192207131865154,-0.6310026756279697,-1.2442957192107102,-1.2000198681620102,0.9210833361378934,-0.49881692380555853,-0.4454868683192258,-0.2899075069514979,-0.5562141100192609,0.34074575940239765,-0.9914702311695709,-0.11413951279927302,0.0,-0.39043848196216374,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
31,Toulouse,12470,8822,0,-0.19207808216513225,0.15273045175097136,-0.8544224615042161,0.028807152825490616,0.18694059817213476,0.205601355465014,0.12903831905477733,-0.1428481556197366,-0.4926420238859537,-0.39906169666898766,0.5903986281253061,0.1845052402354704,0.18847475551733528,0.22314063317869398,-0.08204347604536019,0.574024352878563,0.4058039375194265,0.1283614440616752,-0.08385338877665623,-0.2548319639711195,0.4123394815155286,-0.11413951279927302,0.0,0.21495036518701932,0.3329613081266858,0.0,-0.2130094245913811,0.0,0.0
32,Auch,1621,1289,0,1.5266706490224244,-0.739180811655725,2.2161805832982324,1.5568737989706696,-0.9190963177998511,-1.0523567574905184,-1.2983248631756,-0.1428481556197366,-0.7048939633200002,0.4997374025914032,-1.20904059294348,-1.1072294190763057,-1.174636629423288,-1.2653587622792553,-1.0734756103041212,0.1047220070907556,-1.0167591570066061,-1.1550791472815076,-0.7324613627191123,6.290439642730243,0.2730837616460103,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
33,Bordeaux,6510,4311,1,-1.894917298772598,-1.5907002477538599,0.5327713640759103,-1.8023776197503032,-1.358512881276332,1.4330446588976193,-1.0231313459636653,-0.1428481556197366,1.5013802742088036,1.483226463538881,1.9172755029416846,0.8091016384146602,-0.9673119893625411,-1.2797517289104667,1.6272490608590966,1.7441421880921981,-0.6807123912411961,-0.8683374102710907,-0.3641591539938014,-0.2548319639711195,-0.397580258146625,-0.11413951279927302,0.0,-0.5510096824715941,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
34,Montpellier,8286,6034,1,-0.14720072524194738,-0.04827864736596418,0.282681163630542,-0.3247583986699793,0.12950906264120526,0.3508090202489627,0.022963090761444982,-0.1428481556197366,0.40287283737188073,0.060615530390871274,-0.24916621861282762,1.6001807958340877,0.2281067249094017,0.08864325374596431,0.17866812085851524,-0.43575209314491736,0.2938098915187448,0.03266322844388948,0.2045528512216776,-0.2548319639711195,0.4378136038898623,-0.11413951279927302,0.0,-0.3020489396112801,0.6447103366208125,0.0,-0.2130094245913811,0.0,0.0
35,Rennes,5818,4191,1,-0.7699558683909075,-0.10503264690467194,-0.2313279308733846,-1.0668427959305253,0.5034519047241354,0.11237931808064515,0.8871332682918488,-0.1428481556197366,0.35708768747151803,0.061278826841649446,-0.16792330499725713,2.3288026943911144,1.3124585769869985,0.5680348677322196,0.25658602308442796,0.020312665089823954,1.9227248424873435,1.755472013039766,2.4524559225562177,-0.2548319639711195,1.2869177974996933,-0.11413951279927302,0.0,0.447992717414833,-0.27152836438893174,0.0,2.052617444779692,0.0,0.0
36,Châteauroux,2162,1549,0,-0.2450237451969204,-0.6307910003227364,0.19535540160261858,0.09359770423144033,-0.7802713881153563,0.5065701518721664,-0.8321003711042458,-0.1428481556197366,0.19683957412782005,0.2250323240690271,0.8235416631239116,-0.9179451328635552,-0.8409931826205058,-0.6949149694430018,0.6269571069425889,0.30480445771361186,-0.5240773499653961,-0.6446736586450321,-0.7326272231284935,-0.2548319639711195,-1.2925546298621726,-0.11413951279927302,0.0,-0.6663669175510756,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
37,Tours,5263,3695,0,-1.2024710681482746,-1.274319242323892,0.6909000591183024,-1.0091435746743,-1.3250533316750839,0.5901049999235479,-0.4884170682041702,-0.1428481556197366,1.3293925385277734,1.4820993985683213,1.3415493147993507,-0.4135206839602782,-1.2863921395047324,-1.3714787759462654,0.798345715032054,1.2596625706675475,-0.6000538340690428,-0.12061378596621365,-0.08811833844017557,-0.2548319639711195,-0.7039096526484899,-0.11413951279927302,0.0,-0.5038043715105938,-0.27152836438893174,0.0,-0.2130094245913811,0.0,0.0
